date,open,high,low,close,volume
1993-03-16,0.57,0.6,0.35,0.59,22049
1993-03-17,0.58,0.62,0.53,0.54,10875
1993-03-18,0.54,0.55,0.5,0.51,5709
1993-03-19,0.51,0.56,0.48,0.49,6363
1993-03-22,0.43,0.48,0.31,0.35,8389
1993-03-23,0.3,0.35,0.24,0.26,8045
1993-03-24,0.27,0.3,0.23,0.26,3868
1993-03-25,0.26,0.27,0.22,0.27,4325
1993-03-26,0.27,0.36,0.17,0.36,10470
1993-03-29,0.36,0.36,0.26,0.28,4190
1993-03-30,0.25,0.3,0.24,0.26,4036
1993-03-31,0.25,0.26,0.21,0.22,3657
1993-04-01,0.22,0.25,0.2,0.25,2799
1993-04-02,0.25,0.27,0.24,0.25,3035
1993-04-05,0.24,0.25,0.21,0.25,1838
1993-04-06,0.24,0.44,0.24,0.4,10945
1993-04-07,0.44,0.55,0.38,0.43,22024
1993-04-08,0.47,1.01,0.46,0.86,41341
1993-04-09,0.86,0.94,0.7,0.74,25797
1993-04-12,0.7,0.78,0.63,0.64,14061
1993-04-13,0.62,0.89,0.62,0.88,32344
1993-04-14,0.88,1.13,0.88,1.05,59793
1993-04-15,1.1,1.36,0.99,1.14,48813
1993-04-16,1.12,1.17,0.93,0.97,21592
1993-04-19,0.89,1.05,0.89,1.0,14272
1993-04-20,1.07,1.1,1.01,1.03,22683
1993-04-21,1.09,1.09,0.99,0.99,7003
1993-04-22,1.03,1.05,0.99,1.05,7122
1993-04-23,1.05,1.11,1.0,1.0,10437
1993-04-26,1.05,1.07,0.97,1.05,11057
1993-04-27,1.09,1.25,1.07,1.1,22646
1993-04-28,1.14,1.16,1.08,1.1,8596
1993-04-29,1.14,1.14,1.03,1.11,10260
1993-04-30,1.12,1.18,1.08,1.16,16566
1993-05-03,1.17,1.18,1.07,1.11,6770
1993-05-04,1.06,1.14,0.77,0.95,12174
1993-05-05,0.94,0.99,0.86,0.96,7952
1993-05-06,0.97,0.97,0.79,0.82,10885
1993-05-07,0.84,0.89,0.8,0.88,6894
1993-05-10,0.88,0.9,0.72,0.77,6372
1993-05-11,0.76,0.81,0.72,0.8,3105
1993-05-12,0.8,0.85,0.8,0.83,3346
1993-05-13,0.84,0.87,0.83,0.87,2998
1993-05-14,0.88,0.92,0.85,0.86,5358
1993-05-17,0.85,0.85,0.72,0.81,6054
1993-05-18,0.79,0.82,0.77,0.78,2714
1993-05-19,0.68,0.81,0.68,0.81,1210
1993-05-20,0.8,0.86,0.8,0.85,3206
1993-05-21,0.85,0.86,0.8,0.81,1900
1993-05-24,0.8,0.8,0.62,0.66,5014
1993-05-25,0.64,0.65,0.52,0.63,3873
1993-05-26,0.61,0.65,0.59,0.63,2194
1993-05-27,0.63,0.63,0.56,0.59,2671
1993-05-28,0.61,0.63,0.57,0.61,2466
1993-05-31,0.59,0.73,0.57,0.57,1621
1993-06-01,0.55,0.6,0.47,0.58,1936
1993-06-02,0.61,0.79,0.57,0.79,10680
1993-06-03,0.87,0.91,0.57,0.65,10271
1993-06-04,0.67,0.7,0.62,0.67,4732
1993-06-07,0.58,0.77,0.58,0.75,2287
1993-06-08,0.8,0.83,0.69,0.75,8268
1993-06-09,0.75,0.87,0.75,0.79,11361
1993-06-10,0.84,0.84,0.75,0.76,4894
1993-06-11,0.71,0.77,0.71,0.74,3534
1993-06-14,0.76,0.82,0.67,0.7,7730
1993-06-15,0.64,0.74,0.64,0.68,2574
1993-06-16,0.7,0.7,0.67,0.68,1749
1993-06-17,0.68,0.71,0.66,0.67,1196
1993-06-18,0.65,0.69,0.65,0.67,836
1993-06-21,0.66,0.66,0.61,0.64,1497
1993-06-22,0.63,0.68,0.62,0.64,391
1993-06-23,0.63,0.67,0.63,0.65,443
1993-06-24,0.65,0.66,0.63,0.64,594
1993-06-25,0.64,0.75,0.63,0.66,1232
1993-06-28,0.67,0.67,0.63,0.65,771
1993-06-29,0.64,0.7,0.64,0.67,2035
1993-06-30,0.68,0.73,0.63,0.64,1152
1993-07-01,0.63,0.68,0.6,0.64,1661
1993-07-02,0.64,0.65,0.63,0.63,984
1993-07-05,0.53,0.61,0.53,0.59,1909
1993-07-06,0.6,0.62,0.53,0.54,2301
1993-07-07,0.54,0.54,0.48,0.53,1557
1993-07-08,0.52,0.59,0.52,0.52,1520
1993-07-09,0.53,0.53,0.49,0.49,1003
1993-07-12,0.48,0.48,0.35,0.43,1996
1993-07-13,0.45,0.5,0.43,0.48,1951
1993-07-14,0.51,0.51,0.43,0.44,1125
1993-07-15,0.44,0.46,0.43,0.44,688
1993-07-16,0.45,0.46,0.44,0.45,588
1993-07-19,0.45,0.49,0.44,0.49,1452
1993-07-21,0.52,0.56,0.47,0.49,6671
1993-07-22,0.51,0.51,0.45,0.49,1124
1993-07-23,0.5,0.51,0.48,0.49,1237
1993-07-26,0.5,0.5,0.43,0.44,2845
1993-07-27,0.43,0.46,0.41,0.45,1285
1993-07-28,0.45,0.53,0.45,0.47,2433
1993-07-29,0.46,0.5,0.46,0.48,1650
1993-07-30,0.5,0.61,0.48,0.56,6954
1993-08-02,0.63,0.79,0.58,0.59,9473
1993-08-03,0.52,0.62,0.52,0.55,2826
1993-08-04,0.53,0.62,0.53,0.59,1619
1993-08-05,0.54,0.62,0.54,0.56,3699
1993-08-06,0.59,0.61,0.58,0.58,1930
1993-08-09,0.58,0.66,0.58,0.65,4244
1993-08-10,0.68,0.71,0.56,0.61,6701
1993-08-11,0.62,0.65,0.59,0.65,1465
1993-08-12,0.68,0.78,0.67,0.76,8965
1993-08-13,0.78,0.8,0.72,0.77,16245
1993-08-16,0.81,0.88,0.78,0.87,15708
1993-08-17,0.92,0.92,0.76,0.79,15239
1993-08-18,0.78,0.82,0.71,0.72,5983
1993-08-19,0.71,0.79,0.71,0.76,5653
1993-08-20,0.77,0.77,0.69,0.71,4306
1993-08-23,0.69,0.71,0.62,0.65,4439
1993-08-24,0.63,0.66,0.59,0.65,2753
1993-08-25,0.68,0.73,0.68,0.69,2484
1993-08-26,0.7,0.7,0.64,0.68,1421
1993-08-27,0.68,0.68,0.59,0.65,1659
1993-08-30,0.66,0.71,0.62,0.69,1865
1993-08-31,0.69,0.71,0.67,0.68,990
1993-09-01,0.68,0.69,0.66,0.67,968
1993-09-02,0.67,0.69,0.66,0.69,1004
1993-09-03,0.72,0.75,0.7,0.74,4804
1993-09-06,0.8,0.83,0.76,0.81,9684
1993-09-07,0.81,0.82,0.73,0.73,5741
1993-09-08,0.73,0.78,0.71,0.75,3162
1993-09-09,0.76,0.76,0.73,0.73,2047
1993-09-10,0.73,0.74,0.72,0.73,1718
1993-09-13,0.72,0.72,0.68,0.71,2566
1993-09-14,0.7,0.71,0.68,0.7,1473
1993-09-15,0.7,0.73,0.69,0.71,768
1993-09-16,0.7,0.71,0.69,0.7,846
1993-09-17,0.69,0.72,0.69,0.71,862
1993-09-20,0.71,0.72,0.67,0.7,720
1993-09-21,0.71,0.76,0.71,0.73,1201
1993-09-22,0.73,0.74,0.71,0.71,470
1993-09-23,0.72,0.73,0.72,0.72,711
1993-09-24,0.71,0.94,0.68,0.73,3117
1993-09-27,0.73,0.74,0.71,0.73,1021
1993-09-28,0.72,0.77,0.72,0.76,2057
1993-09-29,0.78,0.81,0.73,0.74,2895
1993-09-30,0.74,0.79,0.73,0.77,2275
1993-10-04,0.8,0.89,0.77,0.85,23256
1993-10-05,0.88,0.9,0.83,0.83,11546
1993-10-06,0.85,0.87,0.78,0.83,7664
1993-10-07,0.83,3.51,0.78,1.0,49002
1993-10-08,1.06,1.29,0.93,1.01,51857
1993-10-11,1.0,1.0,0.93,0.97,13895
1993-10-12,0.95,1.0,0.93,0.94,6949
1993-10-13,0.93,0.95,0.83,0.87,7363
1993-10-14,0.86,0.92,0.84,0.91,5383
1993-10-15,0.91,0.93,0.89,0.91,4180
1993-10-18,0.89,0.89,0.84,0.87,2332
1993-10-19,0.88,0.93,0.88,0.9,2356
1993-10-20,0.91,0.92,0.89,0.91,2592
1993-10-21,0.91,1.02,0.91,0.92,4831
1993-10-22,0.92,0.94,0.78,0.87,5715
1993-10-25,0.81,0.85,0.79,0.84,5971
1993-10-26,0.84,0.99,0.84,0.99,11861
1993-10-27,1.03,1.08,0.88,0.92,28938
1993-10-28,0.92,1.02,0.91,0.99,13420
1993-10-29,1.01,1.02,0.92,0.95,8708
1993-11-01,0.95,1.06,0.93,1.05,24241
1993-11-02,1.08,1.22,1.03,1.09,85768
1993-11-03,1.1,1.12,1.03,1.04,18869
1993-11-04,1.01,1.03,0.95,1.03,11976
1993-11-05,1.04,1.05,0.99,1.02,6911
1993-11-08,1.04,1.04,0.96,1.03,9282
1993-11-09,1.03,1.05,0.99,1.02,4948
1993-11-10,1.03,1.2,1.01,1.05,15294
1993-11-11,1.09,1.14,1.04,1.07,17485
1993-11-12,1.12,1.12,1.07,1.09,11380
1993-11-15,1.13,1.34,1.1,1.19,33956
1993-11-16,1.2,1.23,1.13,1.15,19306
1993-11-17,1.18,1.18,1.14,1.15,7598
1993-11-18,1.18,1.18,1.13,1.16,7572
1993-11-19,1.18,1.23,1.15,1.21,19605
1993-11-22,1.3,1.32,1.22,1.26,23062
1993-11-23,1.26,1.34,1.22,1.26,32280
1993-11-24,1.26,1.3,1.19,1.22,13613
1993-11-25,1.23,1.3,1.23,1.28,17310
1993-11-26,1.32,1.34,1.19,1.22,14737
1993-11-29,1.22,1.3,1.2,1.25,9706
